species	AI	BM	KY	MS	TC	VG
Acridotheres cristatellus	2	2	2	2	2	2
Acridotheres tristis	2	2	2	2	2	2
Amazona auropalliata	1	1	1	1	1	1
Amazona ochrocephala	2	2	NA	2	2	2
Anas platyrhynchos	1	NA	NA	1	1	1
Anolis carolinensis	2	3	1	3	3	3
Anolis equestris	3	3	1	3	3	3
Anolis grahami	2	NA	2	2	2	2
Anolis sagrei	2	2	NA	2	NA	NA
Aratinga erythrogenys	3	3	NA	3	3	3
Aratinga pertinax	2	2	2	2	2	2
Aratinga solstitialis	1	1	1	1	1	1
Axis axis	1	1	1	1	1	1
Belonesox belizanus	NA	NA	NA	NA	NA	1
Boa constrictor imperator	NA	NA	1	NA	NA	1
Boiga irregularis	1	1	1	1	1	1
Bufo marinus	NA	NA	1	1	1	1
Caiman crocodilus	NA	NA	NA	NA	NA	1
Callosciurus erythreaus	1	1	1	1	1	1
Callosciurus finlaysonii	1	1	1	1	1	1
Canis familiaris	2	2	1	2	2	3
Capra hircus	3	4	4	3	3	1
Chiloscyllium punctatum	NA	NA	NA	NA	NA	1
Chrysemys picta	1	1	1	1	1	1
Cyclura nubila	NA	NA	2	NA	NA	NA
Dasyprocta punctata	1	1	1	1	1	1
Elaphe guttata	2	2	NA	2	2	2
Eleutherodactylus cocqui	1	1	1	1	1	2
Estrilda astrild	NA	NA	1	NA	NA	NA
Felis catus	2	2	NA	2	NA	NA
Forpus passerinus	1	1	1	1	1	1
Gallus gallus	NA	NA	NA	2	2	NA
Gambusia sp.	1	1	1	1	1	1
Gastrophryne carolinensis	2	2	NA	2	2	2
Hemidactylus frenatus	2	2	2	2	2	2
Herpestes auropunctatus	NA	NA	4	3	3	2
Herpestes javanicus	NA	NA	1	NA	NA	NA
Iguana iguana	3	3	NA	NA	4	2
Lampropeltis getula	1	1	1	1	1	1
Lepidodacylus lugubris	1	1	NA	1	1	1
Lonchura malacca	1	1	NA	1	1	1
Lonchura punctulata	1	1	NA	1	1	1
Molothrus bonariensis	3	3	1	3	3	4
Mus musculus	NA	NA	NA	1	1	NA
Mustela erminea	2	2	2	2	2	2
Mustela nivalis	2	2	2	2	2	2
Myiopsitta monachus	5	5	NA	5	5	5
Oreochromis sp.	1	1	1	1	1	1
Oreochromis spp.	1	1	NA	1	1	1
Oryctolagus cuniculus	1	1	1	1	1	1
Osteopilus septentrionalis	NA	1	NA	1	NA	NA
Pantherophis guttatus	1	1	NA	1	2	1
Passer domesticus	2	NA	2	2	2	2
Physignathus cocincinus	1	1	1	1	1	1
Pitangus sulphuratus	1	NA	1	1	2	1
Platax orbicularis	NA	NA	NA	NA	NA	1
Procyon lotor	3	3	4	3	3	3
Psittacula eupatria	1	1	1	1	1	1
Psittacula krameri	2	2	2	2	2	2
Pycnonotus cafer	1	1	1	1	1	1
Python molurus bivittatus	2	2	3	2	2	3
Python regius	1	1	1	1	1	1
Ramphotyphlops braminus	2	2	NA	2	2	3
Rattus norvegicus	3	NA	NA	3	3	3
Rattus rattus	3	NA	NA	3	3	3
Streptopelia decaocto	1	1	NA	1	1	1
Sturnus vulgaris	2	NA	2	2	2	2
Sus scrofa	3	2	3	2	3	3
Tiaris olivacea	1	1	1	1	1	1
Tilapia sp.	1	1	1	1	1	1
Tilapia zillii	1	1	1	1	1	1
Trachemys scripta	3	3	NA	3	3	3
Trichosurus vulpecula	1	1	1	1	1	1
